source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Torpey,‘Smoke Weed and Earn Bitcoin’ with This Vape Pen in Our Increasingly Dystopian Nightmare,Should we really be adding gamification features to getting high?,https://gizmodo.com/smoke-weed-and-earn-bitcoin-with-this-vape-pen-in-our-increasingly-dystopian-nightmare-2000759783,https://gizmodo.com/app/uploads/2025/09/cannabisplant-1200x675.jpg,2026-05-17T20:33:09Z,Gudtrip is a cannabis vape pen from blockchain hardware manufacturer Puffpaw that is touting its ability to allow consumers to earn bitcoin while they smoke weed. Each of the companys individual vape… [+5988 chars]
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Torpey,Poll Finds 62% of Americans Don’t Trust Trump on Crypto,"Despite his campaign's emphasis on crypto, one of Trump's signature pledges remains unfulfilled.",https://gizmodo.com/poll-finds-62-of-americans-dont-trust-trump-on-crypto-2000753919,https://gizmodo.com/app/uploads/2026/03/trump-getty-cabinet-march-26-2026-1200x675.jpg,2026-05-04T09:30:54Z,Donald Trump’s vocal backing of the cryptocurrency industry during the 2024 campaign delivered substantial financial contributions from crypto backers and played a role in his return to the presidenc… [+4820 chars]
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Torpey,Wall Street’s Stablecoin Darling Raises $222 Million to Starve Ethereum,Ethereum's relevance continues to dwindle as crypto aligns with institutions.,https://gizmodo.com/wall-streets-stablecoin-darling-raises-222-million-to-starve-ethereum-2000757094,https://gizmodo.com/app/uploads/2026/05/Circle-Crypto-Arc-1200x675.jpg,2026-05-11T16:40:43Z,Increased centralization around stablecoin issuers and other fintech companies has defined much of the crypto market in recent years. And Circle has now furthered this trend by securing a $222 millio… [+4960 chars]
"{'id': None, 'name': 'Slashdot.org'}",BeauHD,Claude Helps Recover Locked $400K Bitcoin Wallet After 11 Years,"A Bitcoin holder reportedly recovered 5 BTC worth nearly $400,000 with the help of Anthropic's Claude. According to X user cprkrn, they changed their wallet password while ""stoned"" and forgot it, unable to regain access for more than 11 years. Tom's Hardware …",https://slashdot.org/story/26/05/14/1857211/claude-helps-recover-locked-400k-bitcoin-wallet-after-11-years,https://a.fsdn.com/sd/topics/ai_64.png,2026-05-14T20:00:00Z,"After finding a mnemonic that actually turned out to be their old password a few weeks ago, the user dumped their entire college computer files in Claude in a last-gasp effort. The bot uncovered an o… [+1244 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Ben Weiss,Michael Saylor says remarks about selling Bitcoin were intended to jam short-sellers and ‘haters’,"Saylor, the chairman of Strategy, told Fortune that his comments about selling Bitcoin sought to protect his stock from crashing.",https://finance.yahoo.com/markets/crypto/articles/michael-saylor-says-remarks-selling-154918323.html,https://s.yimg.com/ny/api/res/1.2/5a8YrgfFHkAZvqvvFXvOWw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/fortune_175/0bce4eaf8f7e8de0fa24fd9a4c5b92ec,2026-05-08T15:49:18Z,"Michael Saylor is the worlds foremost Bitcoin buyer. You do not sell your Bitcoin, wrote the crypto billionaire in October. But, on a Tuesday earnings call, Saylor, whose company Strategy has accumul… [+2579 chars]"
"{'id': None, 'name': 'Boing Boing'}",Ellsworth Toohey,"After 3.5 trillion guesses, a forgotten $400k Bitcoin wallet finally opened","Eleven years ago, an X user who goes by cprkrn changed the password on a Bitcoin wallet holding 5 BTC. He was stoned at the time. He forgot the new password by morning, and 5 BTC sat untouched while it grew to roughly $400,000. — Read the rest 
The post After…",https://boingboing.net/2026/05/14/after-3-5-trillion-guesses-a-forgotten-400k-bitcoin-wallet-finally-opened.html,,2026-05-14T19:39:59Z,"Eleven years ago, an X user who goes by cprkrn changed the password on a Bitcoin wallet holding 5 BTC. He was stoned at the time. He forgot the new password by morning, and 5 BTC sat untouched while … [+1204 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Bruce Gil,A Ransomware Negotiator Pleads Guilty to Being a Double Agent,The Florida man helped BlackCat/ALPHV operators maximize their payouts.,https://gizmodo.com/a-ransomware-negotiator-pleads-guilty-to-being-a-double-agent-2000749234,https://gizmodo.com/app/uploads/2025/02/ransomware-2024-report-1200x675.jpg,2026-04-22T09:00:29Z,"A man who was supposed to help victims of ransomware attacks was actually helping the other side.
Angelo Martino, a 41-year-old from Florida and a former ransomware negotiator, pleaded guilty to con… [+2526 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,"Strategy Buys $2.54 Billion of Bitcoin, Most Since Late 2024",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_923d1d4b-a55e-462b-9a33-a52ea6e14992,,2026-04-20T14:10:34Z,"If you click 'Accept all', we and our partners, including 250 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,Why bitcoin traders are suddenly obsessed with a forgotten crypto,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b325eadb-5b7c-41da-9002-59b7941277f3,,2026-05-15T16:24:50Z,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]"
"{'id': None, 'name': 'Kotaku'}",Zack Kotzer,Bitcoin Thriller Billing Itself As First Studio-Quality AI-Generated Movie,"Gal Gadot, Casey Affleck, and Pete Davidson star in movie about previous snake oil phenomenon",https://kotaku.com/bitcoin-thriller-billing-itself-as-first-studio-quality-ai-generated-movie-pete-davidson-gal-gadot-2000688877,https://kotaku.com/app/uploads/2026/04/cryptoland.jpg,2026-04-19T19:56:51Z,"Its clear that Hollywood studios want to use AI in movie making. How to do so remains elusive, as the techs shortcomings become immediately obvious in practice and prohibitively expensive even for de… [+2223 chars]"
